ID,Hour of Day,Package UUID,Is Audio Device Connected,Is Charging,Is Wifi Connected,Is Mobile Data Connected,Is Bluetooth Connected,Brightness
173,17,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,40
174,17,51152f1b-0394-4568-a15a-6039e9af055b,false,false,true,false,true,16
175,17,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,16
176,17,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,true,false,true,16
177,17,80974e0e-e0f1-47c3-a5bc-902046767774,false,false,true,false,true,16
178,17,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,15
179,19,80974e0e-e0f1-47c3-a5bc-902046767774,false,false,false,true,true,15
180,19,9a0b969e-8e1a-4b87-9370-5891919e60a2,false,false,false,true,true,15
181,19,0458b4f0-87c2-4bf9-b9fc-e57bdf87d68c,false,false,false,true,true,14
182,19,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,false,true,true,15
183,19,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,true,15
184,19,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,false,true,true,7
185,19,0458b4f0-87c2-4bf9-b9fc-e57bdf87d68c,false,false,false,true,true,17
186,19,80974e0e-e0f1-47c3-a5bc-902046767774,false,false,false,true,true,17
187,19,80974e0e-e0f1-47c3-a5bc-902046767774,false,false,false,true,true,1
188,19,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,false,true,true,1
189,19,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,true,15
190,19,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,true,15
191,19,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,false,true,true,8
192,19,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,false,true,true,12
193,19,b627002c-eb47-41d8-914b-92cddb12361e,false,false,false,true,true,12
194,19,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,false,true,true,12
195,19,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,true,15
196,19,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,false,true,true,15
197,19,96932bdd-bc2d-4f78-93e8-7b29bb70f109,false,false,false,true,true,15
198,19,51152f1b-0394-4568-a15a-6039e9af055b,false,false,false,true,true,15
199,20,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,true,15
200,20,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,false,true,true,4
201,20,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,false,true,true,15
202,20,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,false,true,true,1
203,20,51152f1b-0394-4568-a15a-6039e9af055b,false,false,false,true,true,15
204,20,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,false,true,true,15
205,20,d555675e-bda4-4720-bc9a-6cb25d292703,false,false,false,true,true,15
206,20,fa25658e-d670-47fa-8b88-688c07044b6c,false,false,false,true,true,15
207,20,0458b4f0-87c2-4bf9-b9fc-e57bdf87d68c,false,false,false,true,true,15
208,20,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,false,true,true,15
209,20,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,false,true,true,15
210,20,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,false,true,true,15
211,20,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,true,10
212,20,b3aaf4df-b6b5-447e-ab88-3e2ecccefa73,false,false,false,true,true,10
213,20,b3aaf4df-b6b5-447e-ab88-3e2ecccefa73,false,false,false,true,true,10
214,20,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,true,10
215,20,d555675e-bda4-4720-bc9a-6cb25d292703,false,false,false,true,true,10
216,20,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,false,true,true,10
217,20,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,false,true,true,10
218,20,51152f1b-0394-4568-a15a-6039e9af055b,false,false,false,true,true,15
219,20,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,false,true,true,15
220,20,0d6d55f7-ce38-4878-87b3-0a9d1aaf53af,false,false,true,false,true,15
221,21,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,15
222,21,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,16
223,21,47147fd6-96a0-490e-83bf-43c6ea1d8dbb,false,false,true,false,true,16
224,21,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,16
225,21,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,16
226,21,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,16
227,21,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,16
228,21,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,17
229,21,44eb57a0-60b5-455f-a7d0-e3d9c51fc29b,false,false,true,false,true,17
230,21,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,17
231,21,80974e0e-e0f1-47c3-a5bc-902046767774,false,false,true,false,true,9
232,21,ce293d10-43a0-4b05-90bc-66357802d782,false,false,true,false,true,9
233,21,80974e0e-e0f1-47c3-a5bc-902046767774,false,false,true,false,true,9
234,21,372fa69d-0a79-4dc6-88fc-dfca8ba909c4,false,false,true,false,true,9
235,21,81ab93c8-9518-4770-b4a4-ffcc3c337101,false,false,true,false,true,9
236,21,322d9f29-435a-403e-90a0-42132927d6b6,false,false,true,false,true,10
237,21,416bcf76-08f6-4fb9-8fc6-abb526fbdfb0,false,false,true,false,true,10
